date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:08	328/328	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22259-jAy1AOpXgbV8OxkMAq4+OA%22	http://playcanv.as/robots.txt		(from )
19:18:09	7932/7932	U--MCZ	200	updated ('OK')	text/html	etag:W/%221efc-JnOe1QyaNJpEwK3a2LGetw%22	http://playcanv.as/p/JtL2iqIH/	C:/My%20Web%20Sites/swooop/playcanv.as/p/JtL2iqIH/index.html	(from )
19:18:09	3704/3704	U-----	200	untouched ('OK')	text/css	etag:W/%22e78-156daf69e35%22	http://playcanv.as/css/styles.css	C:/My%20Web%20Sites/swooop/playcanv.as/css/styles.css	(from http://playcanv.as/p/JtL2iqIH/)
19:18:16	37818/37818	U-----	200	untouched ('')	image/jpeg	etag:%220281665350239b9eee2fc257e41b0716%22	https://s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-50.jpg	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-50.jpg	(from http://playcanv.as/p/JtL2iqIH/)
19:18:16	15762/15762	U-----	200	untouched ('')	image/jpeg	etag:%22023b54c924e7ceae6377ab8c1dd937a9%22	https://s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-25.jpg	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-25.jpg	(from http://playcanv.as/p/JtL2iqIH/)
19:18:19	1484/1484	U-----	200	untouched ('')	image/png	etag:%2226c457f576008487eff0b824f6514de1%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/eye.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/eye.png	(from http://playcanv.as/p/JtL2iqIH/)
19:18:34	27805/27805	U-----	200	untouched ('')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/swooop/www.google-analytics.com/analytics.js	(from http://playcanv.as/p/JtL2iqIH/)
19:18:35	10778/10778	U-----	200	untouched ('')	application/ecmascript	date:Thu,%2010%20Nov%202016%2003:15:31%20GMT	http://cdn.webglstats.com/stat.js	C:/My%20Web%20Sites/swooop/cdn.webglstats.com/stat.js	(from http://playcanv.as/p/JtL2iqIH/)
19:18:35	667/667	U-----	200	untouched ('')	application/json	etag:W/%2229b-wg9q013znqiNTzfty2YGzg%22	https://playcanv.as/p/JtL2iqIH//manifest.json	C:/My%20Web%20Sites/swooop/playcanv.as/p/JtL2iqIH/manifest.json	(from http://playcanv.as/p/JtL2iqIH/)
19:18:35	328/328	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22259-jAy1AOpXgbV8OxkMAq4+OA%22	https://playcanv.as/robots.txt		(from http://playcanv.as/p/JtL2iqIH/)
