date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:15:08	328/328	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22259-jAy1AOpXgbV8OxkMAq4+OA%22	http://playcanv.as/robots.txt		(from )
19:15:09	7932/7932	---MCZ	200	added ('OK')	text/html	etag:W/%221efc-RVWWHJ3jd9TeQJ4MgiZeMg%22	http://playcanv.as/p/JtL2iqIH/	C:/My%20Web%20Sites/swooop/playcanv.as/p/JtL2iqIH/index.html	(from )
19:15:11	37818/37818	---M--	200	added ('OK')	image/jpeg	etag:%220281665350239b9eee2fc257e41b0716%22	https://s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-50.jpg	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-50.jpg	(from http://playcanv.as/p/JtL2iqIH/)
19:15:11	15762/15762	---M--	200	added ('OK')	image/jpeg	etag:%22023b54c924e7ceae6377ab8c1dd937a9%22	https://s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-25.jpg	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/images.playcanvas.com/projects/12/4763/TKYXB8-image-25.jpg	(from http://playcanv.as/p/JtL2iqIH/)
19:15:11	667/667	---M--	200	added ('OK')	application/json	etag:W/%2229b-wg9q013znqiNTzfty2YGzg%22	https://playcanv.as/p/JtL2iqIH//manifest.json	C:/My%20Web%20Sites/swooop/playcanv.as/p/JtL2iqIH/manifest.json	(from http://playcanv.as/p/JtL2iqIH/)
19:15:12	3704/3704	---M--	200	added ('OK')	text/css	etag:W/%22e78-156daf69e35%22	http://playcanv.as/css/styles.css	C:/My%20Web%20Sites/swooop/playcanv.as/css/styles.css	(from http://playcanv.as/p/JtL2iqIH/)
19:15:29	1484/1484	---M--	200	added ('OK')	image/png	etag:%2226c457f576008487eff0b824f6514de1%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/eye.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/eye.png	(from http://playcanv.as/p/JtL2iqIH/)
19:15:33	69015/69015	---M-Z	200	added ('OK')	application/javascript	etag:%22e65802d8285d5db5c008ecb81d9ddc49%22	https://cdn.kik.com/kik/1.0.18/kik.js	C:/My%20Web%20Sites/swooop/cdn.kik.com/kik/1.0.18/kik.js	(from http://playcanv.as/p/JtL2iqIH/)
19:15:33	5280/5280	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Nov%202016%2003:15:26%20GMT	https://playcanvas.com/	C:/My%20Web%20Sites/swooop/playcanvas.com/index.html	(from http://playcanv.as/p/JtL2iqIH/)
19:15:34	10778/10778	---M--	200	added ('OK')	application/ecmascript	date:Thu,%2010%20Nov%202016%2003:15:31%20GMT	http://cdn.webglstats.com/stat.js	C:/My%20Web%20Sites/swooop/cdn.webglstats.com/stat.js	(from http://playcanv.as/p/JtL2iqIH/)
19:15:35	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/swooop/www.google-analytics.com/analytics.js	(from http://playcanv.as/p/JtL2iqIH/)
19:15:35	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2010%20Nov%202016%2003:15:30%20GMT	https://facebook.com/sharer.php?u=	C:/My%20Web%20Sites/swooop/facebook.com/sharer.7076c.delayed	(from http://playcanv.as/p/JtL2iqIH/)
19:15:35	328/328	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22259-jAy1AOpXgbV8OxkMAq4+OA%22	https://playcanv.as/robots.txt		(from http://playcanv.as/p/JtL2iqIH/)
19:15:36	3257/3257	---M--	200	added ('OK')	image/png	etag:%2282bfe22524ef44fba1700edf8a16e21c%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/logo_text_dark_16.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/logo_text_dark_16.png	(from http://playcanv.as/css/styles.css)
19:15:37	2755/2755	---M--	200	added ('OK')	image/png	etag:%22eb8551c9a4ff8c576276489d332db6a6%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/logo_text_white_16.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/logo_text_white_16.png	(from http://playcanv.as/css/styles.css)
19:15:38	1795/1795	---M--	200	added ('OK')	image/png	etag:%2226c2fbba6566493f7142abc2700fb169%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fs.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fs.png	(from http://playcanv.as/css/styles.css)
19:15:39	1638/1638	---M--	200	added ('OK')	image/png	etag:%224383b2d30071955065aadc6aa264ca95%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fs_hover.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fs_hover.png	(from http://playcanv.as/css/styles.css)
